id,guid,receipt_number,device_number,device_name,operator_id,operator_name,shift_id,carpark_name,carpark_number,parking_rate_label,parking_rate_name,entry_grace_period,exit_grace_period,vat_type,vat_percentage,ticket_id,entry_date_time,payment_date_time,max_exit_date_time,parking_duration,payment_category,parking_fee,vat_amount,lost_fee,admin_fixed_charges,ticket_replacement_fee,discount_amount,gross_amount,amount_received,discount_id,discount_category,discount_name,coupon_id,coupon_category,coupon_source,product_id,product_quantity,payment_type,authentication_code,bank_notes,void,void_user,void_reason,void_date_time,record_creation_time,facility_number,validation_id,validation_value,validation_hours,validation_transactions,customer_card_id,balance_returned,credit_note,entry_plate_number,exit_plate_number,wallet_points,parktron_payment_id,update_reason,last_updated_datetime
1446,,52,84,Handheld Cashier 2,30,parcx,ICD8420210414135849,ICD,1,,parking_rates1,,,inclusive,5,3e9010100187cb76935,2021-04-15 21:01:25,2021-06-03 00:00:00,2021-04-16 00:02:05,1154H 58M,Regular Payment,50,2.38,0,0,0,0,50,0,,0,,,,,0,0,Cash,,,,,,2021-06-01 11:10:51,2021-04-16 00:00:42,200002,,,0,,,0,0,G 52018,,0,0,hi,2021-06-01 11:31:21
1447,,52,84,Handheld Cashier 2,30,parcx,ICD8420210414135849,ICD,1,,parking_rates1,,,inclusive,5,3e9010100187cc597ee,2021-04-15 21:16:54,2021-06-17 00:00:00,2021-04-16 00:05:33,1490H 43M,Regular Payment,50,2.38,0,0,0,0,50,0,,0,,,,,0,0,Cash,,,,,,2021-06-01 11:13:22,2021-04-16 00:03:57,200002,,,0,,,0,0,N 5540,,0,0,hbkjb,2021-06-01 11:32:52
1448,,52,84,Handheld Cashier 2,30,parcx,ICD8420210414135849,ICD,1,,parking_rates1,,,inclusive,5,3e9010100187cfdfecb,2021-04-15 22:18:31,2021-06-02 00:00:00,2021-04-16 00:06:23,1129H 41M,Regular Payment,50,2.38,0,0,0,0,50,0,,0,,,,,0,0,Cash,,,,,,2021-06-01 11:30:06,2021-04-16 00:04:57,200002,,,0,,,0,0,S 7011,,0,0,test,2021-06-01 11:30:43
1449,,52,84,Handheld Cashier 2,30,parcx,ICD8420210414135849,ICD,1,,parking_rates1,,,inclusive,5,3e9010100187cea1fda,2021-04-15 21:56:48,2021-04-16 00:10:33,2021-04-16 00:10:32,2H 13M,Regular Payment,50,2.38,0,0,0,0,50,0,,0,,,,,0,0,CreditCard,,,,,,,2021-04-16 00:09:02,200002,,,0,,,0,0,S 64031,,0,0,Change to CreditCard,2021-06-01 12:12:22
1450,,52,84,Handheld Cashier 2,30,parcx,ICD8420210414135849,ICD,1,,parking_rates1,,,inclusive,5,3e9010100187ce656e0,2021-04-15 21:52:40,2021-04-16 00:10:32,2021-04-16 00:19:19,2H 17M,Regular Payment,50,2.38,0,0,0,0,50,0,,0,0,,,,0,0,Cash,,,,,,,2021-04-16 00:17:47,200002,,,0,,,0,0,H 69151,,0,0,No discount,2021-05-31 11:53:13
1451,,52,84,Handheld Cashier 2,30,parcx,ICD8420210414135849,ICD,1,,parking_rates1,,,inclusive,5,3e9010100187cee6e86,2021-04-15 22:01:31,2021-04-16 00:10:32,2021-04-16 00:19:32,2H 13M,Regular Payment,100,0,0,0,0,0,0,0,0,,,,,,0,0,Cash,,,,,,,2021-04-16 00:18:02,200002,,100,0,,,0,0,L 789,,0,0,,2021-05-31 11:28:19
1452,,52,84,Handheld Cashier 2,30,parcx,ICD8420210414135849,ICD,1,,parking_rates1,,,inclusive,5,3e9010100187cf1af4d,2021-04-15 22:05:04,2021-04-16 00:10:32,2021-04-16 00:19:46,2H 13M,Regular Payment,100,0,0,0,0,0,0,0,0,,,,,,0,0,Cash,,,,,,,2021-04-16 00:18:17,200002,,100,0,,,0,0,O 6748,,0,0,,2021-05-31 11:28:19
1453,,52,84,Handheld Cashier 2,30,parcx,ICD8420210414135849,ICD,1,,parking_rates1,,,inclusive,5,3e9010100187d1efc05,2021-04-15 22:54:31,2021-04-16 00:10:32,2021-04-16 00:26:38,2H 13M,Regular Payment,100,0,0,0,0,0,0,0,0,,,,,,0,0,Cash,,,,,,,2021-04-16 00:25:02,200002,,100,0,,,0,0,KSA 2874,,0,0,,2021-05-31 11:28:19
1454,,52,84,Handheld Cashier 2,30,parcx,ICD8420210414135849,ICD,1,,parking_rates1,,,inclusive,5,3e9010100187cb684ab,2021-04-15 21:00:25,2021-04-16 00:10:32,2021-04-16 00:26:57,2H 13M,Regular Payment,100,0,0,0,0,0,0,0,0,,,,,,0,0,Cash,,,,,,,2021-04-16 00:25:32,200002,,100,0,,,0,0,S 79174,,0,0,,2021-05-31 11:28:19
1455,,52,84,Handheld Cashier 2,30,parcx,ICD8420210414135849,ICD,1,,parking_rates1,,,inclusive,5,3e9010100187ceabdf8,2021-04-15 21:57:29,2021-04-16 00:10:32,2021-04-16 00:38:03,2H 13M,Regular Payment,100,0,0,0,0,0,0,0,0,,,,,,0,0,Cash,,,,,,,2021-04-16 00:36:39,200002,,100,0,,,0,0,I 94199,,0,0,,2021-05-31 11:28:19
